Table,DMRisk,F_DMStat,DMStat,Race and Ethnicity,RIDRETH3,Frequency,WgtFreq,StdDev,Percent,StdErr,_SkipLine
Table 1 of DMStat * RIDRETH3,At risk,Diagnosed Diabetes,Diagnosed Diabetes,Mexican American,Mexican American,107,1701229,515878,1.9971,0.6088,
Table 1 of DMStat * RIDRETH3,At risk,Diagnosed Diabetes,Diagnosed Diabetes,Other Hispanic,Other Hispanic,75,1090709,251050,1.2804,0.3417,
Table 1 of DMStat * RIDRETH3,At risk,Diagnosed Diabetes,Diagnosed Diabetes,NonHispanic White,NonHispanic White,94,8229313,1295655,9.6607,1.2699,
Table 1 of DMStat * RIDRETH3,At risk,Diagnosed Diabetes,Diagnosed Diabetes,NonHispanic Black,NonHispanic Black,114,2202693,365802,2.5858,0.4803,
Table 1 of DMStat * RIDRETH3,At risk,Diagnosed Diabetes,Diagnosed Diabetes,NonHispanic Asian,NonHispanic Asian,21,422904,113897,0.4965,0.1448,
Table 1 of DMStat * RIDRETH3,At risk,Diagnosed Diabetes,Diagnosed Diabetes,Other Race Including Multi Racial,Other Race Including Multi Racial,17,760033,243937,0.8922,0.3006,
Table 1 of DMStat * RIDRETH3,At risk,Diagnosed Diabetes,Diagnosed Diabetes,Total,,428,14406881,1158338,16.9128,1.2714,1
Table 1 of DMStat * RIDRETH3,At risk,Diagnosed Prediabetes,Diagnosed Prediabetes,Mexican American,Mexican American,44,788172,158351,0.9253,0.2077,-
Table 1 of DMStat * RIDRETH3,At risk,Diagnosed Prediabetes,Diagnosed Prediabetes,Other Hispanic,Other Hispanic,44,675360,94293,0.7928,0.1149,
Table 1 of DMStat * RIDRETH3,At risk,Diagnosed Prediabetes,Diagnosed Prediabetes,NonHispanic White,NonHispanic White,82,8268499,1254966,9.7067,0.9731,
Table 1 of DMStat * RIDRETH3,At risk,Diagnosed Prediabetes,Diagnosed Prediabetes,NonHispanic Black,NonHispanic Black,49,1051214,221880,1.2341,0.2893,
Table 1 of DMStat * RIDRETH3,At risk,Diagnosed Prediabetes,Diagnosed Prediabetes,NonHispanic Asian,NonHispanic Asian,18,354107,133016,0.4157,0.167,
Table 1 of DMStat * RIDRETH3,At risk,Diagnosed Prediabetes,Diagnosed Prediabetes,Other Race Including Multi Racial,Other Race Including Multi Racial,11,504170,201122,0.5919,0.2224,
Table 1 of DMStat * RIDRETH3,At risk,Diagnosed Prediabetes,Diagnosed Prediabetes,Total,,248,11641522,1231865,13.6665,0.8112,1
Table 1 of DMStat * RIDRETH3,At risk,Undiagnosed Diabetes,Undiagnosed Diabetes,Mexican American,Mexican American,21,375023,119411,0.4403,0.1431,-
Table 1 of DMStat * RIDRETH3,At risk,Undiagnosed Diabetes,Undiagnosed Diabetes,Other Hispanic,Other Hispanic,12,229228,119727,0.2691,0.1468,
Table 1 of DMStat * RIDRETH3,At risk,Undiagnosed Diabetes,Undiagnosed Diabetes,NonHispanic White,NonHispanic White,12,1314040,433379,1.5426,0.5032,
Table 1 of DMStat * RIDRETH3,At risk,Undiagnosed Diabetes,Undiagnosed Diabetes,NonHispanic Black,NonHispanic Black,28,570196,177520,0.6694,0.2179,
Table 1 of DMStat * RIDRETH3,At risk,Undiagnosed Diabetes,Undiagnosed Diabetes,NonHispanic Asian,NonHispanic Asian,5,93700,49350,0.11,0.0592,
Table 1 of DMStat * RIDRETH3,At risk,Undiagnosed Diabetes,Undiagnosed Diabetes,Other Race Including Multi Racial,Other Race Including Multi Racial,3,81812,48537,0.096,0.0561,
Table 1 of DMStat * RIDRETH3,At risk,Undiagnosed Diabetes,Undiagnosed Diabetes,Total,,81,2663999,484137,3.1274,0.5984,1
Table 1 of DMStat * RIDRETH3,At risk,Undiagnosed Prediabetes,Undiagnosed Prediabetes,Mexican American,Mexican American,109,1983549,644761,2.3286,0.7786,-
Table 1 of DMStat * RIDRETH3,At risk,Undiagnosed Prediabetes,Undiagnosed Prediabetes,Other Hispanic,Other Hispanic,72,1149852,267393,1.3499,0.3616,
