Table,DMStat,DMRisk,DMBMI,DMAge,F_RIDRETH3,RIDRETH3,F_RIAGENDR,RIAGENDR,Frequency,WgtFreq,StdDev,Percent,StdErr,_SkipLine
Table 1 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,40-44,Mexican American,Mexican American,Male,Male,3,98165,57851,7.4750,4.1274,
Table 1 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,40-44,Mexican American,Mexican American,Female,Female,7,175821,85014,13.3883,5.6667,
Table 1 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,40-44,Mexican American,Mexican American,Total,,10,273985,123769,20.8633,8.1819,1
Table 1 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,40-44,Other Hispanic,Other Hispanic,Male,Male,1,30837,30837,2.3482,2.5791,-
Table 1 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,40-44,Other Hispanic,Other Hispanic,Female,Female,1,19412,19412,1.4782,1.4610,
Table 1 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,40-44,Other Hispanic,Other Hispanic,Total,,2,50249,36438,3.8263,3.0696,1
Table 1 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,40-44,NonHispanic White,NonHispanic White,Male,Male,5,283653,129190,21.5995,8.7501,-
Table 1 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,40-44,NonHispanic White,NonHispanic White,Female,Female,4,378854,204391,28.8489,13.0799,
Table 1 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,40-44,NonHispanic White,NonHispanic White,Total,,9,662507,240652,50.4484,12.8132,1
Table 1 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,40-44,NonHispanic Black,NonHispanic Black,Male,Male,2,39297,39297,2.9924,3.1224,-
Table 1 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,40-44,NonHispanic Black,NonHispanic Black,Female,Female,8,182027,80027,13.8609,6.0998,
Table 1 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,40-44,NonHispanic Black,NonHispanic Black,Total,,10,221325,65810,16.8533,5.4475,1
Table 1 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,40-44,NonHispanic Asian,NonHispanic Asian,Male,Male,0,,,,,-
Table 1 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,40-44,NonHispanic Asian,NonHispanic Asian,Female,Female,1,28199,28199,2.1473,2.0462,
Table 1 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,40-44,NonHispanic Asian,NonHispanic Asian,Total,,1,28199,28199,2.1473,2.0462,1
Table 1 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,40-44,Other Race Including Multi Racial,Other Race Including Multi Racial,Male,Male,2,37330,26423,2.8426,1.9762,-
Table 1 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,40-44,Other Race Including Multi Racial,Other Race Including Multi Racial,Female,Female,1,39643,39643,3.0187,3.0607,
Table 1 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,40-44,Other Race Including Multi Racial,Other Race Including Multi Racial,Total,,3,76973,47642,5.8613,3.6553,1
Table 1 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,40-44,Total,,Male,Male,13,489282,142985,37.2577,9.8964,-
Table 1 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,40-44,Total,,Female,Female,22,823956,230283,62.7423,9.8964,
Table 1 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,40-44,Total,,Total,,35,1313238,259112,100.0000,_,1
Table 2 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,45-49,Mexican American,Mexican American,Male,Male,6,195081,101872,12.9010,7.1784,
Table 2 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,45-49,Mexican American,Mexican American,Female,Female,7,165904,64514,10.9715,4.6295,
Table 2 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,45-49,Mexican American,Mexican American,Total,,13,360984,137515,23.8725,10.0547,1
Table 2 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,45-49,Other Hispanic,Other Hispanic,Male,Male,4,117432,72293,7.7660,4.4096,-
Table 2 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,45-49,Other Hispanic,Other Hispanic,Female,Female,4,85443,43101,5.6505,2.9281,
Table 2 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,45-49,Other Hispanic,Other Hispanic,Total,,8,202875,84166,13.4165,5.1140,1
Table 2 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,45-49,NonHispanic White,NonHispanic White,Male,Male,4,407464,225250,26.9463,12.9605,-
Table 2 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,45-49,NonHispanic White,NonHispanic White,Female,Female,0,,,,,
Table 2 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,45-49,NonHispanic White,NonHispanic White,Total,,4,407464,225250,26.9463,12.9605,1
Table 2 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,45-49,NonHispanic Black,NonHispanic Black,Male,Male,9,188145,78554,12.4424,5.7097,-
Table 2 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,45-49,NonHispanic Black,NonHispanic Black,Female,Female,8,184625,87601,12.2096,4.8362,
Table 2 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,45-49,NonHispanic Black,NonHispanic Black,Total,,17,372769,92352,24.6519,5.2803,1
Table 2 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,45-49,NonHispanic Asian,NonHispanic Asian,Male,Male,4,73243,37943,4.8437,2.7557,-
Table 2 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,45-49,NonHispanic Asian,NonHispanic Asian,Female,Female,3,72110,42591,4.7687,2.5414,
Table 2 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,45-49,NonHispanic Asian,NonHispanic Asian,Total,,7,145352,61990,9.6124,4.0508,1
Table 2 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,45-49,Other Race Including Multi Racial,Other Race Including Multi Racial,Male,Male,0,,,,,-
Table 2 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,45-49,Other Race Including Multi Racial,Other Race Including Multi Racial,Female,Female,1,22687,22687,1.5003,1.4524,
Table 2 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,45-49,Other Race Including Multi Racial,Other Race Including Multi Racial,Total,,1,22687,22687,1.5003,1.4524,1
Table 2 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,45-49,Total,,Male,Male,27,981364,164152,64.8994,6.0849,-
Table 2 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,45-49,Total,,Female,Female,23,530768,124059,35.1006,6.0849,
Table 2 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,45-49,Total,,Total,,50,1512131,219548,100.0000,_,1
Table 3 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,50-54,Mexican American,Mexican American,Male,Male,6,144172,86557,6.7283,4.2538,
Table 3 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,50-54,Mexican American,Mexican American,Female,Female,8,159727,72789,7.4542,3.4479,
Table 3 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,50-54,Mexican American,Mexican American,Total,,14,303900,71316,14.1826,3.9353,1
Table 3 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,50-54,Other Hispanic,Other Hispanic,Male,Male,6,153375,64930,7.1578,3.0725,-
Table 3 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,50-54,Other Hispanic,Other Hispanic,Female,Female,6,114805,48879,5.3578,2.3123,
Table 3 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,50-54,Other Hispanic,Other Hispanic,Total,,12,268180,70664,12.5156,3.4150,1
Table 3 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,50-54,NonHispanic White,NonHispanic White,Male,Male,9,573766,216026,26.7769,7.9194,-
Table 3 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,50-54,NonHispanic White,NonHispanic White,Female,Female,6,428442,168462,19.9948,5.2057,
Table 3 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,50-54,NonHispanic White,NonHispanic White,Total,,15,1002208,348303,46.7717,10.7257,1
Table 3 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,50-54,NonHispanic Black,NonHispanic Black,Male,Male,7,154902,64153,7.2291,3.0460,-
Table 3 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,50-54,NonHispanic Black,NonHispanic Black,Female,Female,8,166699,30163,7.7796,1.9064,
Table 3 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,50-54,NonHispanic Black,NonHispanic Black,Total,,15,321601,64875,15.0087,3.6066,1
Table 3 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,50-54,NonHispanic Asian,NonHispanic Asian,Male,Male,4,70527,48639,3.2914,2.3918,-
Table 3 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,50-54,NonHispanic Asian,NonHispanic Asian,Female,Female,0,,,,,
Table 3 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,50-54,NonHispanic Asian,NonHispanic Asian,Total,,4,70527,48639,3.2914,2.3918,1
Table 3 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,50-54,Other Race Including Multi Racial,Other Race Including Multi Racial,Male,Male,2,176351,150167,8.2300,6.6582,-
Table 3 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,50-54,Other Race Including Multi Racial,Other Race Including Multi Racial,Female,Female,0,,,,,
Table 3 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,50-54,Other Race Including Multi Racial,Other Race Including Multi Racial,Total,,2,176351,150167,8.2300,6.6582,1
Table 3 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,50-54,Total,,Male,Male,34,1273092,221360,59.4135,4.0631,-
Table 3 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,50-54,Total,,Female,Female,28,869674,186012,40.5865,4.0631,
Table 3 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,50-54,Total,,Total,,62,2142766,369176,100.0000,_,1
Table 4 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,55-59,Mexican American,Mexican American,Male,Male,7,153201,67753,5.1919,2.6142,
Table 4 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,55-59,Mexican American,Mexican American,Female,Female,7,138999,52584,4.7106,1.5364,
Table 4 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,55-59,Mexican American,Mexican American,Total,,14,292200,98161,9.9026,3.5118,1
Table 4 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,55-59,Other Hispanic,Other Hispanic,Male,Male,5,109058,71124,3.6960,2.3581,-
Table 4 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,55-59,Other Hispanic,Other Hispanic,Female,Female,8,122962,35762,4.1671,1.3056,
Table 4 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,55-59,Other Hispanic,Other Hispanic,Total,,13,232020,83958,7.8631,2.8302,1
Table 4 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,55-59,NonHispanic White,NonHispanic White,Male,Male,12,841895,270755,28.5316,7.4493,-
Table 4 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,55-59,NonHispanic White,NonHispanic White,Female,Female,7,824731,266002,27.9499,6.1437,
Table 4 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,55-59,NonHispanic White,NonHispanic White,Total,,19,1666627,431279,56.4814,8.2980,1
Table 4 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,55-59,NonHispanic Black,NonHispanic Black,Male,Male,11,263775,52369,8.9392,2.1018,-
Table 4 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,55-59,NonHispanic Black,NonHispanic Black,Female,Female,7,170470,59493,5.7772,2.0140,
Table 4 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,55-59,NonHispanic Black,NonHispanic Black,Total,,18,434245,85642,14.7164,3.2385,1
Table 4 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,55-59,NonHispanic Asian,NonHispanic Asian,Male,Male,3,51259,29990,1.7371,1.1867,-
Table 4 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,55-59,NonHispanic Asian,NonHispanic Asian,Female,Female,1,18703,18703,0.6338,0.6306,
Table 4 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,55-59,NonHispanic Asian,NonHispanic Asian,Total,,4,69961,35344,2.3710,1.3899,1
Table 4 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,55-59,Other Race Including Multi Racial,Other Race Including Multi Racial,Male,Male,2,197426,178231,6.6907,5.6594,-
Table 4 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,55-59,Other Race Including Multi Racial,Other Race Including Multi Racial,Female,Female,1,58271,58271,1.9748,2.0322,
Table 4 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,55-59,Other Race Including Multi Racial,Other Race Including Multi Racial,Total,,3,255697,187515,8.6655,5.9685,1
Table 4 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,55-59,Total,,Male,Male,40,1616614,306505,54.7865,6.9783,-
Table 4 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,55-59,Total,,Female,Female,31,1334137,322513,45.2135,6.9783,
Table 4 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,55-59,Total,,Total,,71,2950751,479957,100.0000,_,1
Table 5 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,60-64,Mexican American,Mexican American,Male,Male,22,207482,90808,5.8721,2.5419,
Table 5 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,60-64,Mexican American,Mexican American,Female,Female,13,114131,57965,3.2301,1.5826,
Table 5 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,60-64,Mexican American,Mexican American,Total,,35,321613,143069,9.1022,3.9556,1
Table 5 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,60-64,Other Hispanic,Other Hispanic,Male,Male,9,76773,27438,2.1728,0.7472,-
Table 5 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,60-64,Other Hispanic,Other Hispanic,Female,Female,11,93556,34730,2.6478,1.0835,
Table 5 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,60-64,Other Hispanic,Other Hispanic,Total,,20,170329,39422,4.8206,1.2344,1
Table 5 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,60-64,NonHispanic White,NonHispanic White,Male,Male,13,1361915,338163,38.5444,8.4903,-
Table 5 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,60-64,NonHispanic White,NonHispanic White,Female,Female,10,955229,365729,27.0345,8.3831,
Table 5 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,60-64,NonHispanic White,NonHispanic White,Total,,23,2317144,435350,65.5788,5.4038,1
Table 5 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,60-64,NonHispanic Black,NonHispanic Black,Male,Male,16,217646,86666,6.1597,2.2607,-
