Status,Risk,BMI,Age,Race,Sex,N,Population,Percent
Diagnosed Diabetes,At risk,Obese,Under 40,Mexican American,Male,4,121968,5.5387
Diagnosed Diabetes,At risk,Obese,Under 40,Mexican American,Female,14,327961,14.893
Diagnosed Diabetes,At risk,Obese,Under 40,Mexican American,,18,449929,20.4317
Diagnosed Diabetes,At risk,Obese,Under 40,Other Hispanic,Male,3,111248,5.0519
Diagnosed Diabetes,At risk,Obese,Under 40,Other Hispanic,Female,3,90195,4.0958
Diagnosed Diabetes,At risk,Obese,Under 40,Other Hispanic,,6,201443,9.1477
Diagnosed Diabetes,At risk,Obese,Under 40,NonHispanic White,Male,5,421218,19.1279
Diagnosed Diabetes,At risk,Obese,Under 40,NonHispanic White,Female,6,456543,20.732
Diagnosed Diabetes,At risk,Obese,Under 40,NonHispanic White,,11,877761,39.8599
Diagnosed Diabetes,At risk,Obese,Under 40,NonHispanic Black,Male,6,174569,7.9273
Diagnosed Diabetes,At risk,Obese,Under 40,NonHispanic Black,Female,14,381128,17.3073
Diagnosed Diabetes,At risk,Obese,Under 40,NonHispanic Black,,20,555696,25.2347
Diagnosed Diabetes,At risk,Obese,Under 40,NonHispanic Asian,Male,1,9307,0.4226
Diagnosed Diabetes,At risk,Obese,Under 40,NonHispanic Asian,Female,1,45284,2.0564
Diagnosed Diabetes,At risk,Obese,Under 40,NonHispanic Asian,,2,54592,2.4791
Diagnosed Diabetes,At risk,Obese,Under 40,Other Race Including Multi Racial,Male,1,22897,1.0398
Diagnosed Diabetes,At risk,Obese,Under 40,Other Race Including Multi Racial,Female,1,39799,1.8073
Diagnosed Diabetes,At risk,Obese,Under 40,Other Race Including Multi Racial,,2,62695,2.847
Diagnosed Diabetes,At risk,Obese,Under 40,,Male,20,861206,39.1081
Diagnosed Diabetes,At risk,Obese,Under 40,,Female,39,1340909,60.8919
Diagnosed Diabetes,At risk,Obese,Under 40,,,59,2202115,100
Diagnosed Diabetes,At risk,Obese,40-44,Mexican American,Male,3,98165,7.475
Diagnosed Diabetes,At risk,Obese,40-44,Mexican American,Female,7,175821,13.3883
Diagnosed Diabetes,At risk,Obese,40-44,Mexican American,,10,273985,20.8633
Diagnosed Diabetes,At risk,Obese,40-44,Other Hispanic,Male,1,30837,2.3482
Diagnosed Diabetes,At risk,Obese,40-44,Other Hispanic,Female,1,19412,1.4782
Diagnosed Diabetes,At risk,Obese,40-44,Other Hispanic,,2,50249,3.8263
Diagnosed Diabetes,At risk,Obese,40-44,NonHispanic White,Male,5,283653,21.5995
Diagnosed Diabetes,At risk,Obese,40-44,NonHispanic White,Female,4,378854,28.8489
Diagnosed Diabetes,At risk,Obese,40-44,NonHispanic White,,9,662507,50.4484
Diagnosed Diabetes,At risk,Obese,40-44,NonHispanic Black,Male,2,39297,2.9924
Diagnosed Diabetes,At risk,Obese,40-44,NonHispanic Black,Female,8,182027,13.8609
Diagnosed Diabetes,At risk,Obese,40-44,NonHispanic Black,,10,221325,16.8533
Diagnosed Diabetes,At risk,Obese,40-44,NonHispanic Asian,Male,0,,
Diagnosed Diabetes,At risk,Obese,40-44,NonHispanic Asian,Female,1,28199,2.1473
Diagnosed Diabetes,At risk,Obese,40-44,NonHispanic Asian,,1,28199,2.1473
Diagnosed Diabetes,At risk,Obese,40-44,Other Race Including Multi Racial,Male,2,37330,2.8426
Diagnosed Diabetes,At risk,Obese,40-44,Other Race Including Multi Racial,Female,1,39643,3.0187
Diagnosed Diabetes,At risk,Obese,40-44,Other Race Including Multi Racial,,3,76973,5.8613
Diagnosed Diabetes,At risk,Obese,40-44,,Male,13,489282,37.2577
Diagnosed Diabetes,At risk,Obese,40-44,,Female,22,823956,62.7423
Diagnosed Diabetes,At risk,Obese,40-44,,,35,1313238,100
Diagnosed Diabetes,At risk,Obese,45-49,Mexican American,Male,6,195081,12.901
Diagnosed Diabetes,At risk,Obese,45-49,Mexican American,Female,7,165904,10.9715
Diagnosed Diabetes,At risk,Obese,45-49,Mexican American,,13,360984,23.8725
Diagnosed Diabetes,At risk,Obese,45-49,Other Hispanic,Male,4,117432,7.766
Diagnosed Diabetes,At risk,Obese,45-49,Other Hispanic,Female,4,85443,5.6505
Diagnosed Diabetes,At risk,Obese,45-49,Other Hispanic,,8,202875,13.4165
Diagnosed Diabetes,At risk,Obese,45-49,NonHispanic White,Male,4,407464,26.9463
Diagnosed Diabetes,At risk,Obese,45-49,NonHispanic White,Female,0,,
Diagnosed Diabetes,At risk,Obese,45-49,NonHispanic White,,4,407464,26.9463
Diagnosed Diabetes,At risk,Obese,45-49,NonHispanic Black,Male,9,188145,12.4424
Diagnosed Diabetes,At risk,Obese,45-49,NonHispanic Black,Female,8,184625,12.2096
Diagnosed Diabetes,At risk,Obese,45-49,NonHispanic Black,,17,372769,24.6519
Diagnosed Diabetes,At risk,Obese,45-49,NonHispanic Asian,Male,4,73243,4.8437
Diagnosed Diabetes,At risk,Obese,45-49,NonHispanic Asian,Female,3,72110,4.7687
Diagnosed Diabetes,At risk,Obese,45-49,NonHispanic Asian,,7,145352,9.6124
Diagnosed Diabetes,At risk,Obese,45-49,Other Race Including Multi Racial,Male,0,,
Diagnosed Diabetes,At risk,Obese,45-49,Other Race Including Multi Racial,Female,1,22687,1.5003
Diagnosed Diabetes,At risk,Obese,45-49,Other Race Including Multi Racial,,1,22687,1.5003
Diagnosed Diabetes,At risk,Obese,45-49,,Male,27,981364,64.8994
Diagnosed Diabetes,At risk,Obese,45-49,,Female,23,530768,35.1006
Diagnosed Diabetes,At risk,Obese,45-49,,,50,1512131,100
Diagnosed Diabetes,At risk,Obese,50-54,Mexican American,Male,6,144172,6.7283
Diagnosed Diabetes,At risk,Obese,50-54,Mexican American,Female,8,159727,7.4542
Diagnosed Diabetes,At risk,Obese,50-54,Mexican American,,14,303900,14.1826
