PROCNUM,TABLENO,DMAGE,DMRACE,DMGNDR,DMBMI,VARIABLE,_C1,_C2,_C3,_C4,NSUM,WSUM,PERCENT
3,1,0,0,0,0,1,0,0,0,0,9544,316481044,70.05
3,1,0,0,0,Obese,1,0,0,0,1,4510,179746247,56.86
3,1,0,0,0,Overwweight,1,0,0,0,1,1693,64216379.0,80.19
3,1,0,0,0,Healthy,1,0,0,0,1,3341,72518418.0,93.74
3,1,0,0,0,Unknown,1,0,0,0,1,0,0.00,
3,1,0,0,Male,0,1,0,0,1,0,4676,154558598,70.60
3,1,0,0,Male,Obese,1,0,0,1,1,2167,89087601.4,58.34
3,1,0,0,Male,Overwweight,1,0,0,1,1,860,29928233.8,79.71
3,1,0,0,Male,Healthy,1,0,0,1,1,1649,35542762.8,93.65
3,1,0,0,Male,Unknown,1,0,0,1,1,0,0.00,
3,1,0,0,Female,0,1,0,0,1,0,4868,161922446,69.52
3,1,0,0,Female,Obese,1,0,0,1,1,2343,90658645.6,55.41
3,1,0,0,Female,Overwweight,1,0,0,1,1,833,34288145.2,80.62
3,1,0,0,Female,Healthy,1,0,0,1,1,1692,36975655.2,93.81
3,1,0,0,Female,Unknown,1,0,0,1,1,0,0.00,
3,1,0,0,Other,0,1,0,0,1,0,0,0.00,
3,1,0,0,Other,Obese,1,0,0,1,1,0,0.00,
3,1,0,0,Other,Overwweight,1,0,0,1,1,0,0.00,
3,1,0,0,Other,Healthy,1,0,0,1,1,0,0.00,
3,1,0,0,Other,Unknown,1,0,0,1,1,0,0.00,
3,1,0,0,Unknown,0,1,0,0,1,0,0,0.00,
3,1,0,0,Unknown,Obese,1,0,0,1,1,0,0.00,
3,1,0,0,Unknown,Overwweight,1,0,0,1,1,0,0.00,
3,1,0,0,Unknown,Healthy,1,0,0,1,1,0,0.00,
3,1,0,0,Unknown,Unknown,1,0,0,1,1,0,0.00,
3,1,0,Mexican American,0,0,1,0,1,0,0,1837,33398542.0,70.31
3,1,0,Mexican American,0,Obese,1,0,1,0,1,967,19884409.6,56.06
3,1,0,Mexican American,0,Overwweight,1,0,1,0,1,250,4822329.21,83.99
3,1,0,Mexican American,0,Healthy,1,0,1,0,1,620,8691803.16,95.32
3,1,0,Mexican American,0,Unknown,1,0,1,0,1,0,0.00,
3,1,0,Mexican American,Male,0,1,0,1,1,0,851,16731966.5,69.35
3,1,0,Mexican American,Male,Obese,1,0,1,1,1,438,9861024.93,55.67
3,1,0,Mexican American,Male,Overwweight,1,0,1,1,1,129,2562885.27,83.37
3,1,0,Mexican American,Male,Healthy,1,0,1,1,1,284,4308056.26,92.31
3,1,0,Mexican American,Male,Unknown,1,0,1,1,1,0,0.00,
3,1,0,Mexican American,Female,0,1,0,1,1,0,986,16666575.5,71.27
3,1,0,Mexican American,Female,Obese,1,0,1,1,1,529,10023384.7,56.44
3,1,0,Mexican American,Female,Overwweight,1,0,1,1,1,121,2259443.95,84.70
3,1,0,Mexican American,Female,Healthy,1,0,1,1,1,336,4383746.90,98.26
3,1,0,Mexican American,Female,Unknown,1,0,1,1,1,0,0.00,
3,1,0,Mexican American,Other,0,1,0,1,1,0,0,0.00,
3,1,0,Mexican American,Other,Obese,1,0,1,1,1,0,0.00,
3,1,0,Mexican American,Other,Overwweight,1,0,1,1,1,0,0.00,
3,1,0,Mexican American,Other,Healthy,1,0,1,1,1,0,0.00,
3,1,0,Mexican American,Other,Unknown,1,0,1,1,1,0,0.00,
3,1,0,Mexican American,Unknown,0,1,0,1,1,0,0,0.00,
