PROCNUM,TABLENO,DMAGE,DMRACE,DMGNDR,DMBMI,VARIABLE,_C1,_C2,_C3,_C4,NSUM,WSUM,PERCENT
3,1,0,0,0,0,1,0,0,0,0,9544,316481044,0.59
3,1,0,0,0,Obese,1,0,0,0,1,4510,179746247,0.81
3,1,0,0,0,Overwweight,1,0,0,0,1,1693,64216379.0,0.39
3,1,0,0,0,Healthy,1,0,0,0,1,3341,72518418.0,0.22
3,1,0,0,0,Unknown,1,0,0,0,1,0,0.00,
3,1,0,0,Male,0,1,0,0,1,0,4676,154558598,0.61
3,1,0,0,Male,Obese,1,0,0,1,1,2167,89087601.4,0.94
3,1,0,0,Male,Overwweight,1,0,0,1,1,860,29928233.8,0.32
3,1,0,0,Male,Healthy,1,0,0,1,1,1649,35542762.8,0.00
3,1,0,0,Male,Unknown,1,0,0,1,1,0,0.00,
3,1,0,0,Female,0,1,0,0,1,0,4868,161922446,0.57
3,1,0,0,Female,Obese,1,0,0,1,1,2343,90658645.6,0.67
3,1,0,0,Female,Overwweight,1,0,0,1,1,833,34288145.2,0.46
3,1,0,0,Female,Healthy,1,0,0,1,1,1692,36975655.2,0.43
3,1,0,0,Female,Unknown,1,0,0,1,1,0,0.00,
3,1,0,0,Other,0,1,0,0,1,0,0,0.00,
3,1,0,0,Other,Obese,1,0,0,1,1,0,0.00,
3,1,0,0,Other,Overwweight,1,0,0,1,1,0,0.00,
3,1,0,0,Other,Healthy,1,0,0,1,1,0,0.00,
3,1,0,0,Other,Unknown,1,0,0,1,1,0,0.00,
3,1,0,0,Unknown,0,1,0,0,1,0,0,0.00,
3,1,0,0,Unknown,Obese,1,0,0,1,1,0,0.00,
3,1,0,0,Unknown,Overwweight,1,0,0,1,1,0,0.00,
3,1,0,0,Unknown,Healthy,1,0,0,1,1,0,0.00,
3,1,0,0,Unknown,Unknown,1,0,0,1,1,0,0.00,
3,1,0,Mexican American,0,0,1,0,1,0,0,1837,33398542.0,0.32
3,1,0,Mexican American,0,Obese,1,0,1,0,1,967,19884409.6,0.39
3,1,0,Mexican American,0,Overwweight,1,0,1,0,1,250,4822329.21,0.61
3,1,0,Mexican American,0,Healthy,1,0,1,0,1,620,8691803.16,0.00
3,1,0,Mexican American,0,Unknown,1,0,1,0,1,0,0.00,
3,1,0,Mexican American,Male,0,1,0,1,1,0,851,16731966.5,0.59
3,1,0,Mexican American,Male,Obese,1,0,1,1,1,438,9861024.93,0.80
3,1,0,Mexican American,Male,Overwweight,1,0,1,1,1,129,2562885.27,0.78
3,1,0,Mexican American,Male,Healthy,1,0,1,1,1,284,4308056.26,0.00
3,1,0,Mexican American,Male,Unknown,1,0,1,1,1,0,0.00,
3,1,0,Mexican American,Female,0,1,0,1,1,0,986,16666575.5,0.06
3,1,0,Mexican American,Female,Obese,1,0,1,1,1,529,10023384.7,0.00
