PROCNUM,TABLENO,DMAGE,DMRACE,DMGNDR,DMBMI,DMRISK,VARIABLE,_C1,_C2,_C3,_C4,_C5,NSUM,WSUM,PERCENT
3,1,0,0,0,0,0,1,0,0,0,0,0,6527,184336573,1.64
3,1,0,0,0,0,At risk,1,0,0,0,0,1,2114,91483323.9,2.97
3,1,0,0,0,0,Not at risk,1,0,0,0,0,1,4413,92853248.8,0.34
3,1,0,0,0,0,Unknown,1,0,0,0,0,1,0,0.00,
3,1,0,0,0,Obese,0,1,0,0,0,1,0,2936,112461199,2.59
3,1,0,0,0,Obese,At risk,1,0,0,0,1,1,2114,91483323.9,2.97
3,1,0,0,0,Obese,Not at risk,1,0,0,0,1,1,822,20977875.0,0.94
3,1,0,0,0,Obese,Unknown,1,0,0,0,1,1,0,0.00,
3,1,0,0,0,Overwweight,0,1,0,0,0,1,0,656,16170330.4,0.61
3,1,0,0,0,Overwweight,At risk,1,0,0,0,1,1,0,0.00,
3,1,0,0,0,Overwweight,Not at risk,1,0,0,0,1,1,656,16170330.4,0.61
3,1,0,0,0,Overwweight,Unknown,1,0,0,0,1,1,0,0.00,
3,1,0,0,0,Healthy,0,1,0,0,0,1,0,2935,55705043.4,0.03
3,1,0,0,0,Healthy,At risk,1,0,0,0,1,1,0,0.00,
3,1,0,0,0,Healthy,Not at risk,1,0,0,0,1,1,2935,55705043.4,0.03
3,1,0,0,0,Healthy,Unknown,1,0,0,0,1,1,0,0.00,
3,1,0,0,0,Unknown,0,1,0,0,0,1,0,0,0.00,
3,1,0,0,0,Unknown,At risk,1,0,0,0,1,1,0,0.00,
3,1,0,0,0,Unknown,Not at risk,1,0,0,0,1,1,0,0.00,
3,1,0,0,0,Unknown,Unknown,1,0,0,0,1,1,0,0.00,
3,1,0,0,Male,0,0,1,0,0,1,0,0,3231,92209555.3,1.57
3,1,0,0,Male,0,At risk,1,0,0,1,0,1,1016,46140986.2,2.86
3,1,0,0,Male,0,Not at risk,1,0,0,1,0,1,2215,46068569.1,0.27
3,1,0,0,Male,0,Unknown,1,0,0,1,0,1,0,0.00,
3,1,0,0,Male,Obese,0,1,0,0,1,1,0,1405,55451334.3,2.57
3,1,0,0,Male,Obese,At risk,1,0,0,1,1,1,1016,46140986.2,2.86
3,1,0,0,Male,Obese,Not at risk,1,0,0,1,1,1,389,9310348.13,1.12
3,1,0,0,Male,Obese,Unknown,1,0,0,1,1,1,0,0.00,
3,1,0,0,Male,Overwweight,0,1,0,0,1,1,0,345,8194071.11,0.00
